0,1,2,3,4,5,6,7,8,9,10
whole milk,citrus fruit,,,,,,,,,
rolls/buns,candy,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
long life bakery product,root vegetables,other vegetables,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
hamburger meat,soda,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
beef,dessert,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
oil,shopping bags,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
hamburger meat,pork,,,,,,,,,
soda,yogurt,,,,,,,,,
pork,spread cheese,,,,,,,,,
pork,rolls/buns,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
salt,domestic eggs,,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
cream cheese ,newspapers,,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
ham,other vegetables,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
brown bread,salt,,,,,,,,,
yogurt,bottled water,domestic eggs,,,,,,,,
finished products,brown bread,dishes,,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
detergent,candy,,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
oil,shopping bags,,,,,,,,,
misc. beverages,instant coffee,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,frozen meals,dishes,,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
sausage,brown bread,,,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,,
ham,whole milk,whole milk,coffee,,,,,,,
sausage,butter,bottled water,,,,,,,,
other vegetables,butter,,,,,,,,,
pastry,pasta,,,,,,,,,
canned beer,rolls/buns,artif. sweetener,soda,,,,,,,
white bread,brown bread,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
chicken,soda,,,,,,,,,
frankfurter,curd,white bread,rolls/buns,coffee,,,,,,
red/blush wine,bottled water,sweet spreads,,,,,,,,
rolls/buns,onions,napkins,,,,,,,,
canned beer,soda,,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
beverages,yogurt,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
coffee,butter milk,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
bottled water,hygiene articles,,,,,,,,,
beef,margarine,other vegetables,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pork,sliced cheese,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
yogurt,newspapers,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
rolls/buns,soda,,,,,,,,,
canned beer,herbs,margarine,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
sausage,beverages,,,,,,,,,
whole milk,whole milk,,,,,,,,,
specialty chocolate,white bread,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ham,white bread,,,,,,,,,
coffee,berries,,,,,,,,,
soda,flower (seeds),jam,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
herbs,pot plants,cake bar,,,,,,,,
yogurt,berries,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
yogurt,sauces,,,,,,,,,
beef,yogurt,,,,,,,,,
sausage,whisky,specialty chocolate,dishes,yogurt,napkins,detergent,pastry,,,
ice cream,whole milk,,,,,,,,,
yogurt,newspapers,,,,,,,,,
photo/film,shopping bags,,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
frankfurter,other vegetables,bottled beer,,,,,,,,
dessert,domestic eggs,,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
newspapers,salty snack,,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
shopping bags,root vegetables,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
hard cheese,whole milk,,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
tropical fruit,whole milk,soda,curd,,,,,,,
frankfurter,whipped/sour cream,bottled water,,,,,,,,
citrus fruit,dessert,,,,,,,,,
tropical fruit,candy,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
tropical fruit,citrus fruit,yogurt,frankfurter,specialty chocolate,hard cheese,whole milk,canned beer,,,
canned beer,napkins,rolls/buns,,,,,,,,
root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
grapes,other vegetables,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
root vegetables,instant coffee,,,,,,,,,
spread cheese,pork,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
whole milk,yogurt,,,,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
whole milk,processed cheese,,,,,,,,,
brown bread,sparkling wine,,,,,,,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
candy,white wine,,,,,,,,,
yogurt,beverages,brown bread,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
chicken,pastry,candles,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
cream,yogurt,,,,,,,,,
ice cream,herbs,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,white bread,,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
onions,newspapers,,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
whole milk,pastry,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
pastry,canned beer,whipped/sour cream,grapes,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
salty snack,pastry,oil,,,,,,,,
brown bread,whole milk,shopping bags,,,,,,,,
chocolate,whole milk,,,,,,,,,
curd,sugar,,,,,,,,,
pip fruit,margarine,,,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
margarine,yogurt,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
bottled water,chocolate,,,,,,,,,
soda,salty snack,,,,,,,,,
ham,yogurt,,,,,,,,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
whole milk,soda,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
bottled water,flour,sugar,,,,,,,,
beef,semi-finished bread,,,,,,,,,
dish cleaner,ice cream,jam,newspapers,,,,,,,
curd,canned beer,,,,,,,,,
whole milk,yogurt,newspapers,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
bottled beer,specialty bar,baking powder,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
chocolate,brown bread,salty snack,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
chicken,shopping bags,,,,,,,,,
misc. beverages,UHT-milk,white bread,,,,,,,,
dog food,sausage,dessert,shopping bags,,,,,,,
other vegetables,butter,,,,,,,,,
turkey,root vegetables,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,napkins,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
brown bread,soda,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
chicken,bottled water,,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
pip fruit,processed cheese,canned beer,,,,,,,,
berries,condensed milk,,,,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
ham,yogurt,,,,,,,,,
whole milk,hair spray,butter,pastry,,,,,,,
grapes,whole milk,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
soda,UHT-milk,newspapers,white bread,,,,,,,
citrus fruit,brown bread,,,,,,,,,
meat,other vegetables,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
other vegetables,specialty bar,,,,,,,,,
coffee,shopping bags,,,,,,,,,
chicken,dishes,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
bottled water,citrus fruit,,,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
pip fruit,whole milk,,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
pork,soda,canned vegetables,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
yogurt,soda,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
rolls/buns,margarine,,,,,,,,,
sausage,pastry,,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
condensed milk,shopping bags,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
misc. beverages,whole milk,long life bakery product,,,,,,,,
newspapers,pork,root vegetables,napkins,,,,,,,
citrus fruit,soda,,,,,,,,,
soda,roll products ,,,,,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,,
specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
liquor,domestic eggs,,,,,,,,,
frankfurter,white bread,,,,,,,,,
meat,coffee,,,,,,,,,
whole milk,baking powder,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
grapes,frozen meals,flower (seeds),,,,,,,,
tea,yogurt,shopping bags,brown bread,,,,,,,
cream cheese ,specialty chocolate,,,,,,,,,
margarine,soda,,,,,,,,,
yogurt,softener,,,,,,,,,
tropical fruit,cream cheese ,cream cheese ,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
bottled beer,whole milk,,,,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
soda,whole milk,,,,,,,,,
yogurt,pastry,,,,,,,,,
coffee,shopping bags,shopping bags,,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
curd,domestic eggs,,,,,,,,,
pork,whole milk,napkins,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
other vegetables,oil,,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
hard cheese,butter,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
citrus fruit,flower (seeds),,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
tropical fruit,butter milk,brown bread,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
herbs,citrus fruit,,,,,,,,,
other vegetables,beef,,,,,,,,,
nut snack,canned beer,,,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
citrus fruit,napkins,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
pork,pickled vegetables,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
pip fruit,other vegetables,cling film/bags,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
berries,white bread,,,,,,,,,
newspapers,soups,,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,napkins,,,,,,,,,
chicken,brown bread,,,,,,,,,
UHT-milk,soda,,,,,,,,,
pork,soda,,,,,,,,,
oil,pickled vegetables,,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
soda,whole milk,whole milk,sugar,,,,,,,
pork,domestic eggs,,,,,,,,,
root vegetables,coffee,,,,,,,,,
meat,whole milk,,,,,,,,,
chicken,domestic eggs,white bread,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
canned beer,fish,,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
brown bread,other vegetables,,,,,,,,,
bottled beer,soda,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
curd,soft cheese,,,,,,,,,
frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,,
yogurt,soda,yogurt,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pork,margarine,,,,,,,,,
soda,whole milk,,,,,,,,,
frozen meals,detergent,,,,,,,,,
specialty chocolate,canned fish,,,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
pork,yogurt,,,,,,,,,
yogurt,sausage,whole milk,shopping bags,white bread,dog food,baking powder,sliced cheese,,,
pork,tropical fruit,,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,bottled beer,chicken,yogurt,,,,,,,
seasonal products,frozen vegetables,yogurt,,,,,,,,
long life bakery product,rolls/buns,UHT-milk,bottled water,,,,,,,
pip fruit,berries,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
canned beer,sugar,,,,,,,,,
curd,soft cheese,,,,,,,,,
berries,pip fruit,pastry,,,,,,,,
curd cheese,soda,,,,,,,,,
soda,frozen meals,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,domestic eggs,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
chicken,cake bar,,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
butter,ice cream,,,,,,,,,
whole milk,grapes,,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
citrus fruit,sausage,whole milk,canned beer,,,,,,,
root vegetables,other vegetables,frozen vegetables,,,,,,,,
whole milk,sausage,pet care,yogurt,,,,,,,
whole milk,house keeping products,,,,,,,,,
frankfurter,brandy,,,,,,,,,
berries,other vegetables,,,,,,,,,
beef,curd,frozen meals,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
whole milk,bottled water,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
citrus fruit,light bulbs,,,,,,,,,
frozen vegetables,domestic eggs,,,,,,,,,
citrus fruit,soda,,,,,,,,,
yogurt,whole milk,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
shopping bags,frozen meals,,,,,,,,,
butter,chewing gum,,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
beef,newspapers,bottled beer,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
white bread,yogurt,,,,,,,,,
canned beer,berries,male cosmetics,fruit/vegetable juice,,,,,,,
misc. beverages,coffee,,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,root vegetables,canned vegetables,,,,,,,,
beef,house keeping products,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
pork,packaged fruit/vegetables,chocolate,,,,,,,,
curd,spices,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
sweet spreads,herbs,long life bakery product,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
bottled beer,whole milk,UHT-milk,chocolate,,,,,,,
soda,detergent,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
waffles,whole milk,other vegetables,white bread,,,,,,,
soda,margarine,,,,,,,,,
liquor,bottled water,,,,,,,,,
napkins,napkins,,,,,,,,,
napkins,cleaner,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
cake bar,bottled beer,,,,,,,,,
